HEI Name,UII,Region,HEI Type,Province,City/Municipality,Status
Maria Assumpta Seminary,03053,3,1,Nueva Ecija,Cabanatuan City,Existing
Meycauayan College,03057,3,1,Bulacan,Meycauayan City,Existing
Microcity College of Business and Technology,03059,3,1,Bataan,Balanga City,Existing
"MIDWAY COLLEGES, Inc.",03060,3,1,Nueva Ecija,Cabanatuan City,Existing
Mondriaan Aura College,03061,3,1,Zambales,Olongapo City,Existing
Mother of Good Counsel Seminary,03062,3,1,Pampanga,San Fernando City,Existing
"Mt.Carmel College of Bocaue, Bulacan",03064,3,1,Bulacan,Bocaue,Existing
Nazarenus College and Hospital Foundation,03065,3,1,Bulacan,Meycauayan City,Existing
Nueva Ecija Doctors' Colleges,03068,3,1,Nueva Ecija,Cabanatuan City,Existing
Carthel Science Educational Foundation,03070,3,1,Tarlac,San Manuel,Existing
Osias Colleges,03072,3,1,Tarlac,Tarlac City,Existing
Our Lady of Peace College Seminary,03073,3,1,Tarlac,Tarlac City,Existing
Araullo University,03074,3,1,Nueva Ecija,Cabanatuan City,Existing
Pampanga State Agricultural University,03075,3,2a,Pampanga,Magalang,Existing
Pampanga Colleges,03076,3,1,Pampanga,Macabebe,Existing
National Aviation Academy of the Philippines-Pampanga Extension,03079,3,2b,Pampanga,Floridablanca,Existing
Polytechnic University of the Philippines-Mariveles,03080,3,2b,Bataan,Mariveles,Existing
President Ramon Magsaysay State University,03081,3,2a,Zambales,Iba,Existing
President Ramon Magsaysay State University-Botolan,03081a,3,2b,Zambales,Botolan,Existing
President Ramon Magsaysay State University-Candelaria,03081b,3,2b,Zambales,Candelaria,Existing
President Ramon Magsaysay State University-Castillejos,03081c,3,2b,Zambales,Castillejos,Existing
President Ramon Magsaysay State University-Masinloc,03081d,3,2b,Zambales,Masinloc,Existing
President Ramon Magsaysay State University-Sta. Cruz,03081e,3,2b,Zambales,Sta. Cruz,Existing
La Consolacion University Philippines,03082,3,1,Bulacan,Malolos City,Existing
Republic Central Colleges,03083,3,1,Pampanga,Angeles City,Existing
Nueva Ecija University of Science and Technology-Sebani Estate Agricultural College,03085,3,2b,Nueva Ecija,Gabaldon,Existing
Nueva Ecija University of Science and Technology-Atate,03085b,3,2b,Nueva Ecija,Palayan City,Existing
Nueva Ecija University of Science and Technology-Fort Magsaysay,03085c,3,2b,Nueva Ecija,Palayan City,Existing
Nueva Ecija University of Science and Technology-San Isidro Campus,03085d,3,2b,Nueva Ecija,San Isidro,Existing
Nueva Ecija University of Science and Technology-Sumacab Campus,03085e,3,2b,Nueva Ecija,Cabanatuan City,Existing
Nueva Ecija University of Science and Technology-Peñaranda,03085f,3,2b,Nueva Ecija,Cabanatuan City,Existing
Nueva Ecija University of Science and Technology-Talavera,03085h,3,2b,Nueva Ecija,Talavera,Existing
Nueva Ecija University of Science and Technology-San Leonardo,03085i,3,2b,Nueva Ecija,San Leonardo,Existing
Nueva Ecija University of Science and Technology-Carranglan,03085j,3,2b,Nueva Ecija,Carranglan,Existing
Nueva Ecija University of Science and Technology-San Antonio Campus,03085k,3,2b,Nueva Ecija,San Antonio,Existing
Saint Anthony College of Technology,03086,3,1,Pampanga,Mabalacat City,Existing
Saint Mary's College of Meycauayan,03088,3,1,Bulacan,Meycauayan City,Existing
St. Paul University at San Miguel,03091,3,1,Bulacan,San Miguel,Existing
San Jose Christian Colleges,03092,3,1,Nueva Ecija,San Jose City,Existing
STI College-City of Tarlac,03095,3,1,Tarlac,Tarlac City,Existing
Systems Plus College Foundation,03096,3,1,Pampanga,Angeles City,Existing
Tarlac Agricultural University,03097,3,2a,Tarlac,Camiling,Existing
Tarlac State University,03098,3,2a,Tarlac,Tarlac City,Existing
Tomas Del Rosario College,03099,3,1,Bataan,Balanga City,Existing
University of the Assumption,03100,3,1,Pampanga,San Fernando City,Existing
Wesleyan University-Philippines (Cabanatuan),03104,3,1,Nueva Ecija,Cabanatuan City,Existing
President Ramon Magsaysay State University-San Marcelino,03105,3,2b,Zambales,San Marcelino,Existing
Bataan Peninsula State University-Orani,03108,3,2b,Bataan,Orani,Existing
Interworld Colleges Foundation - Paniqui,03111,3,1,Tarlac,Paniqui,Existing
STI College-City of San Fernando,03115,3,1,Pampanga,San Fernando City,Existing
STI College-Angeles City,03116,3,1,Pampanga,Angeles City,Existing
STI College-Meycauayan,03119,3,1,Bulacan,Meycauayan City,Existing
STI College-Malolos,03120,3,1,Bulacan,Malolos City,Existing
United School of Science and Technology Colleges,03125,3,1,Tarlac,Tarlac City,Existing
Concepcion Holy Cross College,03127,3,1,Tarlac,Concepcion,Existing
Northern Zambales College,03128,3,1,Zambales,Masinloc,Existing
"Columban College-Sta. Cruz, Zambales",03129,3,1,Zambales,Sta. Cruz,Existing
College of Saint Lawrence,03131,3,1,Bulacan,Balagtas,Existing
Sact Mutien College,03132,3,1,Pampanga,Mabalacat City,Existing
Fernandez College of Arts and Technology,03133,3,1,Bulacan,Baliuag,Existing
Micro Asia College of Science and Technology,03134,3,1,Zambales,Iba,Existing
Sienna College of San Jose,03135,3,1,Bulacan,San Jose del Monte City,Existing
Bataan Peninsula State University,03141,3,2a,Bataan,Balanga City,Existing
AMA Computer College-Cabanatuan City,03142,3,1,Nueva Ecija,Cabanatuan City,Existing
Comteq Computer and Business College,03144,3,1,Zambales,Olongapo City,Existing
Gordon College,03149,3,3,Zambales,Olongapo City,Existing
Eastwoods Professional College of Science and Technology,03151,3,1,Bataan,Balanga City,Existing
"AMA Computer College-San Fernando, Pampanga",03153,3,1,Pampanga,San Fernando City,Existing
Limay Polytechnic College,03157,3,3,Bataan,Limay,Existing
Maritime Academy of Asia and the Pacific,03159,3,1,Bataan,Mariveles,Existing
AMA Computer College-Tarlac City,03162,3,1,Tarlac,Tarlac City,Existing
Fundamental Baptist College For Asians,03163,3,1,Tarlac,Tarlac City,Existing
"St. Paul Colleges Foundation-Paniqui, Tarlac",03165,3,1,Tarlac,Paniqui,Existing
ABE International College of Business and Economics-Cabanatuan,03166,3,1,Nueva Ecija,Cabanatuan City,Existing
AMA Computer College-Angeles City,03167,3,1,Pampanga,Angeles City,Existing
Asia Pacific College of Advanced Studies,03168,3,1,Bataan,Balanga City,Existing
"College of Mary Immaculate of Pandi, Bulacan",03169,3,1,Bulacan,Pandi,Existing
Saint Mary's College of Baliuag,03171,3,1,Bulacan,Baliuag,Existing
Saint Augustine Colleges Foundation,03172,3,1,Tarlac,Paniqui,Existing
Saint Rose College Educational Foundation,03175,3,1,Tarlac,Paniqui,Existing
ABE International College of Business and Accountancy,03177,3,1,Bulacan,Malolos City,Existing
AMA Computer College-Olongapo City,03178,3,1,Zambales,Olongapo City,Existing
La Concepcion College,03179,3,1,Bulacan,San Jose del Monte City,Existing
Colegio De San Gabriel Arcangel,03180,3,1,Bulacan,San Jose del Monte City,Existing
Mary the Queen College-Pampanga,03182,3,1,Pampanga,Guagua,Existing
Mount Carmel College of Casiguran,03187,3,1,Aurora,Casiguran,Existing
STI College-Sta. Maria,03188,3,1,Bulacan,Sta. Maria,Existing
STI College-Balagtas,03189,3,1,Bulacan,Balagtas,Existing
Lyceum of Subic Bay,03190,3,1,Zambales,Olongapo City,Existing
Kolehiyo ng Subic,03192,3,3,Zambales,Olongapo City,Existing
First City Providential College,03194,3,1,Bulacan,San Jose del Monte City,Existing
College of the Most Holy Trinity,03195,3,1,Bataan,Hermosa,Existing
Academia de San Lorenzo Dema Ala,03196,3,1,Bulacan,San Jose del Monte City,Existing
Eduardo L. Joson Memorial College,03197,3,3,Nueva Ecija,Palayan City,Existing
The Manila Times College of Subic,03198,3,1,Zambales,Olongapo City,Existing
St. Joseph College-Olongapo,03199,3,1,Zambales,Olongapo City,Existing
Saint Mary's Angels College of Pampanga,03201,3,1,Pampanga,Sta. Ana,Existing
St. Nicolas College of Business and Technology,03202,3,1,Pampanga,San Fernando City,Existing
Dr. Gloria D. Lacson Foundation Colleges-Cabanatuan City,03203,3,1,Nueva Ecija,Cabanatuan City,Existing
College of Our Lady of Mt. Carmel (Pampanga),03205,3,1,Pampanga,San Fernando City,Existing
Central Luzon College of Science and Technology-City of San Fernando (Pampanga),03206,3,1,Pampanga,San Fernando City,Existing
Colegio de San Juan de Letran-Abucay,03207,3,1,Bataan,Abucay,Existing
College of Subic Montessori-Subic Bay,03208,3,1,Zambales,Olongapo City,Existing
STI College-Baliuag,03209,3,1,Bulacan,Baliuag,Existing
ACLC College of Meycauayan,03211,3,1,Bulacan,Meycauayan City,Existing
Colegio De Calumpit,03212,3,1,Bulacan,Calumpit,Existing
Gerona Junior College,03214,3,1,Tarlac,Gerona,Existing
Holy Rosary Colleges Foundation,03216,3,1,Nueva Ecija,San Isidro,Existing
Our Lady of Manaoag Montessori College,03218,3,1,Bulacan,Balagtas,Existing
Philippine Rehabilitation Institute Foundation-Guagua,03220,3,1,Pampanga,Guagua,Existing
Subic Bay Colleges,03223,3,1,Zambales,Olongapo City,Existing
